ID,Incident Number,Court Number,Arrest Date,Filed Case Type,List of Filed Charges,Crime Type,Crime Description,Type
47709,180002253,18000075,2018/01/01,Felony,",148(A)1,243(B),246.3(A),25400A2,25850(A),29800A1,29900A1,30305A1,",GUN,Gun-Felony,New Filing
47710,180000570,18000039,2018/01/01,Felony,",148(A)1,245(A)2,25400A1,25850(A),",GUN,Gun-Felony,New Filing
47711,180002805,18000081,2018/01/01,Misdemeanor,",166(C)1,166(c)(1),",STAY,Stay Away Violati,New Filing
47712,170899082,18000068,2018/01/01,Felony,",451(D),451(d),453(A),453(a),",ARS,Arson,New Filing
47713,Z20180101-18000044,18000044,2018/01/01,Felony,",10852,11364(A),11377(A),11377(a),12022.1(b),459,466,496(A),594(b)(2)(A),",BURA,Burglary-Auto,New Filing
47714,180002598,18000078,2018/01/01,Misdemeanor,",148(A)1,21310,",WEA,Weapons- Non-Gun,New Filing
47715,Z20180101-18000047,18000047,2018/01/01,Felony,",245(A)4,245(a)(4),273.5(A),368(B)1,594(B)1,",ASLT,Assault-Felony,New Filing
47716,180001556,18000055,2018/01/01,Misdemeanor,",273.5(a),273.5A,",ASLT,Assault-Misdemean,New Filing
47717,180000718,18000051,2018/01/01,Felony,",594(B)1,594(b)(1),594B2A,",VAN,Vandalism,New Filing
47718,Z20180101-18000038,18000038,2018/01/01,Felony,",10852,148(A)1,243(B),245(A)4,245(a)(4),459,664/459,",BURA,Burglary-Auto,New Filing
47719,180001540,18000084,2018/01/01,Felony,",12022.1(b),148(A)1,459,",BURA,Burglary-Auto,New Filing
47720,180002184,18000069,2018/01/01,Felony,",242,243(E)1,245(A)4,273.5(A),MTRDA,",ASLT,Assault-Felony,New Filing
47721,180002655,18000077,2018/01/01,Felony,",243(E)1,243(e)(1),245(A)1,245(a)(1),417(A)1,594(B)1,594(b)(1),594B2A,",ASLT,Assault-Felony,New Filing
47722,180000150,18000031,2018/01/01,Felony,",25400A2,25400A3,25850(A),",GUN,Gun-Felony,New Filing
47723,180002059,18000071,2018/01/01,Felony,",459,602.5(B),667.5(c)(21),",BURR,Burglary-Resident,New Filing
47724,180000069,18000017,2018/01/01,Felony,",12022(b)(1),12022.7(a),245(A)1,245(A)4,245(a)(4),417(A)1,459,667.5(c)(21),",BURR,Burglary-Resident,New Filing
47725,180001186,18000063,2018/01/01,Felony,",594(B)1,",VAN,Vandalism,New Filing
47726,180001017,18000050,2018/01/01,Felony,",25400(a)(2),25400A1,25400A2,25850(A),490.2(A),490.2(a),",GUN,Gun-Felony,New Filing
47727,180001324,18000060,2018/01/01,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47728,Z20180101-18000045,18000045,2018/01/01,Misdemeanor,",23152(A),23152(B),23538(b)(2),23578,",DUI,DUI,New Filing
47729,171052293,18000211,2018/01/01,Felony,",12022.7(a),21651(B),21651(b),23105(A),23105(a),",HIT,Hit and Run,New Filing
47730,180000001,18000020,2018/01/01,Misdemeanor,",23152(A),23152(B),23578,",DUI,DUI,New Filing
47731,Z20180101-18000034,18000034,2018/01/01,Misdemeanor,",14601.1(a),14601.5(A),14601.5(a),23152(A),23152(B),23152(a),23152(b),",DUI,DUI,New Filing
47732,Z20180101-18000030,18000030,2018/01/01,Misdemeanor,",23103,23152(A),23152(B),23578,",DUI,DUI,New Filing
47733,180002275,2507591,2018/01/01,Misdemeanor,",594(B)(2)(A),594(b)(2)(A),",VAN,Vandalism,New Filing
47734,180002231,18000070,2018/01/01,Misdemeanor,",23152(A),23152(B),23152(b),23538(b)(2),23578,",DUI,DUI,New Filing
47735,Z20180606-02509705,2509705,2018/01/01,Misdemeanor,",23152(A),23152(B),23538(b)(2),23578,",DUI,DUI,New Filing
47736,170401897,18000088,2018/01/02,Felony,",11352(A),11352(a),",DRUG,Narcotics,New Filing
47737,180002946,18000092,2018/01/02,Misdemeanor,",148(A)1,148(a)(1),166(C)1,166(c)(1),243(B),602,602.5(B),602.5(b),",STAY,Stay Away Violati,New Filing
47738,180004613,18000108,2018/01/02,Felony,",11350(A),11351.5,166(A)4,",DRUG,Narcotics,New Filing
47739,180004005,18000110,2018/01/02,Felony,",11351,11378,11379(A),182(A)1,",DRUG,Narcotics,New Filing
47740,180004005,18000112,2018/01/02,Felony,",11378,11379(a),",DRUG,Narcotics,New Filing
47741,Z20180102-18000091,18000091,2018/01/02,Felony,",245(A)1,245(A)4,245(a)(1),",ASLT,Assault-Felony,New Filing
47742,180005304,18000126,2018/01/02,Felony,",11351,11366,11370.1(A),11378,1203.073(b)(2),25400A2,29800A1,496(A),496(a),",DRUG,Narcotics,New Filing
47743,180005188,18000118,2018/01/02,Felony,",148.9(a),594(b)(2)(A),594B2A,",VAN,Vandalism,New Filing
47744,180003944,2507128,2018/01/02,Misdemeanor,",459,490.2(A),",THFT,Theft- Non-Auto,New Filing
47745,180007582,2507135,2018/01/02,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47746,Z20180119-02507327,2507327,2018/01/02,Misdemeanor,",11350(A),11350(a),11377(A),",DRUG,Narcotics,New Filing
47747,180003392,2507216,2018/01/02,Misdemeanor,",14601.2(A),14601.2(a),23123(A),",TRAN,14601/14602: Susp,New Filing
47748,170996597,2507611,2018/01/02,Misdemeanor,",192(C)1,192(C)2,",VH,Vehicular Homicid,New Filing
47749,180007811,18000180,2018/01/03,Misdemeanor,",166(A)4,273.6(A),273.6(a),",STAY,Stay Away Violati,New Filing
47750,180007792,18000179,2018/01/03,Felony,",459,496(A),530.5(E),",BURR,Burglary-Resident,New Filing
47751,180005809,18000139,2018/01/03,Misdemeanor,",11364(A),11364(a),21310,",WEA,Weapons- Non-Gun,New Filing
47752,180005489,18000125,2018/01/03,Felony,",594(B)1,",VAN,Vandalism,New Filing
47753,180005837,18000138,2018/01/03,Felony,",11351,11351.5,11352(A),",DRUG,Narcotics,New Filing
47754,180006302,18000152,2018/01/03,Felony,",11351,11351.5,11378,148(A)1,",DRUG,Narcotics,New Filing
47755,170906029,18000164,2018/01/03,Felony,",182(A)1,459,594(B)1,594B2A,",BURA,Burglary-Auto,New Filing
47756,180005542,18000130,2018/01/03,Felony,",11351,11351.5,11378,135,148(A)1,166(A)4,21955,32,",DRUG,Narcotics,New Filing
47757,180005774,18000149,2018/01/03,Felony,",314(1),372,451(D),453(A),",ARS,Arson,New Filing
47758,180006471,18000150,2018/01/03,Felony,",148(A)1,148(a)(1),245(A)4,69(A),",ASLT,Assault-Felony,New Filing
47759,180007372,18000167,2018/01/03,Felony,",11350(A),11351,11351.5,11378,",DRUG,Narcotics,New Filing
47760,180006584,18000159,2018/01/03,Felony,",14601.1(A),25400(a)(1),25400A1,25850(A),25850(a),",GUN,Gun-Felony,New Filing
47761,180005586,18000133,2018/01/03,Felony,",148(A)1,148.9(A),148.9(a),470B,470b,530.5(A),530.5(c)(3),530.5C3,ENROUTE,",FRD,Fraud-Other,New Filing
47762,180007576,18000170,2018/01/03,Misdemeanor,",330.1(a),330.1A,330A(A),330a(a),337A(3),337a(a)(3),372,",OTHM,Other-Misdemeanor,New Filing
47763,170998220,18000163,2018/01/03,Felony,",459,487(A),487(a),",BURC,Burglary-Commerci,New Filing
47764,180005871,2507126,2018/01/03,Misdemeanor,",242,415(1),602.1(A),602.1(a),",ASLT,Assault-Misdemean,New Filing
47765,180000014,18000122,2018/01/03,Misdemeanor,",23103,23152(A),23152(B),23538(b)(2),23578,",DUI,DUI,New Filing
47766,Z20180502-02509023,2509023,2018/01/03,Misdemeanor,",12500(A),23152(F),",DUI,DUI,New Filing
47767,180007952,2507266,2018/01/04,Felony,",11350(a),11351,11352(a),11352.5(2),11375(b)(1),12022.1(b),",DRUG,Narcotics,New Filing
47768,180310341,18006742,2018/01/04,Felony,",422,69(A),69(a),",THRE,Threats,New Filing
47769,180008364,18000191,2018/01/04,Felony,",11351,",DRUG,Narcotics,New Filing
47770,180008364,18000203,2018/01/04,Felony,",11350(A),11351,",DRUG,Narcotics,New Filing
47771,180009908,18000248,2018/01/04,Misdemeanor,",148(A)1,594(B)1,594(b)(1),",VAN,Vandalism,New Filing
47772,180009538,18000246,2018/01/04,Felony,",11351,11351.5,11378,166(A)4,166(a)(4),",DRUG,Narcotics,New Filing
47773,180010256,18000258,2018/01/04,Felony,",459,496(A),",BURA,Burglary-Auto,New Filing
