ID,Incident Number,Court Number,Arrest Date,Filed Case Type,List of Filed Charges,Crime Type,Crime Description,Type
56061,180830098,19000017,2019/01/01,Felony,",12022.7(e),236,245(A)4,273.5(A),",ASLT,Assault-Felony,New Filing
56062,190001687,19000067,2019/01/01,Misdemeanor,",242,490.2(A),602.1(a),602.1A,",THFT,Theft- Non-Auto,New Filing
56063,Z20190101-19000041,19000041,2019/01/01,Felony,",12022.7(a),23153(A),23153(B),23153(G),23153(b),23153(g),23558,23578,",DUII,DUI with Injury,New Filing
56064,190001308,19000061,2019/01/01,Felony,",10851(A),11364(A),466,496D(A),496d(a),666.5,",AUTO,Auto Theft,New Filing
56065,190000736,19000032,2019/01/01,Felony,",487(A),",THFT,Theft-Non Auto,New Filing
56066,180985013,19000071,2019/01/01,Felony,",1203.085(b),220(A),220(B),242,261(a)(2),368(C),459,664261A2,667.5(c)(21),667.9(a),",SAA,Sexual Assault,New Filing
56067,180925961,19000016,2019/01/01,Felony,",459,496(A),496(a),",BURA,Burglary-Auto,New Filing
56068,Z20190101-19000052,19000052,2019/01/01,Misdemeanor,",148.9(a),148.9A,",AUTO,Auto Theft,New Filing
56069,190970456,19000044,2019/01/01,Felony,",459,487(A),487(a),",BURC,Burglary-Commerci,New Filing
56070,180970456,19000057,2019/01/01,Felony,",459,487(A),487(a),",BURC,Burglary-Commerci,New Filing
56071,190000861,19000056,2019/01/01,Felony,",182(A)1,466,496(A),",BURA,Burglary-Auto,New Filing
56072,190000861,19000055,2019/01/01,Felony,",182(A)1,466,496(A),",BURA,Burglary-Auto,New Filing
56073,190000861,19000059,2019/01/01,Felony,",12500(A),16028(a),182(A)1,4000(A)1,466,496(A),",BURA,Burglary-Auto,New Filing
56074,190002174,19000087,2019/01/01,Misdemeanor,",166(A)4,243(E)1,273.6(A),417(A)1,",ASLT,Assault-Misdemean,New Filing
56075,190000560,19000177,2019/01/01,Misdemeanor,",243(E)1,594(B)(2)(A),594(b)(2)(A),",ASLT,Assault-Misdemean,New Filing
56076,190002287,19000085,2019/01/01,Felony,",11364(a),11377(a),12022.1(b),459,466,496(A),",BURA,Burglary-Auto,New Filing
56077,190001875,19000069,2019/01/01,Felony,",20150(A),30305A1,",OTHF,Other-Felony,New Filing
56078,190009540,2513817,2019/01/01,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
56079,190000002,19000019,2019/01/01,Misdemeanor,",23103,23152(A),23152(B),23578,",DUI,DUI,New Filing
56080,190000001,19000018,2019/01/01,Misdemeanor,",23140(A),23140(a),23152(A),23152(B),23578,",DUI,DUI,New Filing
56081,180926051,19000108,2019/01/02,Felony,",12022.7(a),243(D),243(d),245(A)2,245(a)(2),246.3(A),246.3(a),25850(A),25850(a),417(A)1,",GUN,Gun-Felony,New Filing
56082,190004039,19000120,2019/01/02,Felony,",11351.5,11352(A),",DRUG,Narcotics,New Filing
56083,190003520,19000121,2019/01/02,Felony,",11379(A),",DRUG,Narcotics,New Filing
56084,190003887,19000123,2019/01/02,Felony,",11350(A),11364(A),11378,11379(A),",DRUG,Narcotics,New Filing
56085,180896711,19000097,2019/01/02,Felony,",14601.1(A),14601.1(a),459,",BURC,Burglary-Commerci,New Filing
56086,190003326,19000135,2019/01/02,Felony,",12022(b)(1),12022.7(a),136.1(c)(1),136.1C1,187(A),190.2(a)(18),206,245(A)1,245(A)4,245(a)(4),273.5(A),290.011(a),290.011A,290.015(a),290.015A,664/187A,",HOMI,Homicide,New Filing
56087,190004976,19000132,2019/01/02,Felony,",148(A)1,459,466,490.2(A),496(A),",BURA,Burglary-Auto,New Filing
56088,190002013,19000093,2019/01/02,Felony,",11351,11352(A),11378,11379(A),14601.1(A),14601.1(a),32,",DRUG,Narcotics,New Filing
56089,190003439,19000122,2019/01/02,Felony,",11350A,11378,11379(A),",DRUG,Narcotics,New Filing
56090,190004211,19000131,2019/01/02,Felony,",11378,11379(A),",DRUG,Narcotics,New Filing
56091,180894890,19000137,2019/01/02,Felony,",12022.7(a),243(D),245(A)4,",ASLT,Assault-Felony,New Filing
56092,190004067,19000126,2019/01/02,Felony,",11351,11378,",DRUG,Narcotics,New Filing
56093,190002679,19000115,2019/01/02,Felony,",12022.1(b),148(A)1,459,466,667.5(c)(21),",BURR,Burglary-Resident,New Filing
56094,190005190,19000138,2019/01/02,Felony,",236,417(A)1,",ASLT,Assault-Felony,New Filing
56095,190005106,19000133,2019/01/02,Felony,",451(B),453(A),594(B)1,",ARS,Arson,New Filing
56096,190005275,19000157,2019/01/02,Felony,",10851(A),12500(A),20001(A),2800.2A,496D(A),",AUTO,Auto Theft,New Filing
56097,190005275,19000159,2019/01/02,Misdemeanor,",466,",AUTO,Auto Theft,New Filing
56098,190002776,19000111,2019/01/02,Felony,",25400A2,25850(A),417(a)(2)(A),417A2A,",GUN,Gun-Felony,New Filing
56099,190005281,19000149,2019/01/02,Felony,",12022.7(a),23153(A),23558,",DUII,DUI with Injury,New Filing
56100,190003893,19000124,2019/01/02,Misdemeanor,",594(B)1,594(b)(1),",VAN,Vandalism,New Filing
