ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1,2474866,,,,Misdemeanor,2014/01/03,2014/01/09,N,6,Not Convicted,Not Concluded,Mistrial,DUI
2,12021843,,,,Misdemeanor,2014/01/02,2014/01/09,N,7,Convicted,Concluded,Convicted,DUI
3,13024641,,,,Misdemeanor,2014/01/10,2014/01/15,N,5,Convicted,Concluded,Convicted,DUI
4,13025947,,,,Felony,2014/01/13,2014/01/17,N,4,Not Convicted,Not Concluded,Mistrial,Robbery 2nd Degre
5,2475657,,,,Misdemeanor,2014/01/13,2014/01/21,N,8,Not Convicted,Not Concluded,Mistrial,DUI
6,13025205,,,,Felony,2014/01/13,2014/01/21,N,8,Not Convicted,Not Concluded,Mistrial,Domestic Violence
7,13029790,,,,Felony,2014/01/14,2014/01/22,N,8,Convicted,Concluded,Convicted,Domestic Violence
8,12026120,,,,Misdemeanor,2014/01/13,2014/01/22,Y,9,Convicted,Concluded,Convicted,Assault-Misdemean
9,12030587,,,,Misdemeanor,2014/01/13,2014/01/22,Y,9,Not Convicted,Concluded,Not Convicted,Assault-Misdemean
10,12030743,,,,Felony,2014/01/21,2014/01/23,N,2,Convicted,Concluded,Convicted,Receiving Stolen
11,2474647,,,,Misdemeanor,2014/01/21,2014/01/23,N,2,Convicted,Concluded,Convicted,Hit and Run
12,12028198,,,,Felony,2014/01/13,2014/01/23,N,10,Convicted,Concluded,Convicted,Arson
13,2445742,,,,Felony,2014/01/15,2014/01/27,N,12,Not Convicted,Not Concluded,Mistrial,NA
14,2140452,,,,Felony,2014/01/27,2014/01/29,N,2,Convicted,Concluded,Convicted,NA
15,12029994,,,,Misdemeanor,2014/01/22,2014/01/30,N,8,Convicted,Concluded,Convicted,DUI
16,13027008,,,,Misdemeanor,2014/01/15,2014/01/30,N,15,Convicted,Concluded,Convicted,DUI
17,13028891,,,,Felony,2014/01/16,2014/01/31,N,15,Not Convicted,Not Concluded,Mistrial,Sexual Assault
18,13025671,,,,Misdemeanor,2014/01/28,2014/01/31,N,3,Convicted,Concluded,Convicted,DUI
19,2473963,,,,Felony,2014/01/29,2014/02/04,N,6,Not Convicted,Concluded,Not Convicted,Assault-Felony
20,13025259,,,,Misdemeanor,2014/01/23,2014/02/04,N,12,Not Convicted,Concluded,Not Convicted,DUI
21,2385150,,,,Felony,2014/02/06,2014/02/13,N,7,Convicted,Concluded,Convicted,NA
22,13016443,,,,Felony,2014/02/05,2014/02/13,N,8,Not Convicted,Concluded,Not Convicted,Assault-Felony
23,13026454,,,,Felony,2014/02/04,2014/02/13,N,9,Convicted,Concluded,Convicted,Robbery 2nd Degre
24,14001756,,,,Misdemeanor,2014/02/14,2014/02/18,N,4,Not Convicted,Concluded,Not Convicted,Domestic Violence
25,13029159,,,,Misdemeanor,2014/02/10,2014/02/19,N,9,Not Convicted,Concluded,Not Convicted,Hit and Run
26,13025629,,,,Felony,2014/02/05,2014/02/20,N,15,Not Convicted,Concluded,Not Convicted,Assault-Felony
27,12014544,,,,Misdemeanor,2014/02/18,2014/02/21,N,3,Convicted,Concluded,Convicted,DUI
28,13009800,,,,Felony,2014/01/28,2014/02/26,N,29,Convicted,Concluded,Convicted,Domestic Violence
29,2381204,11027353,,,Felony,2014/02/05,2014/02/27,N,22,Convicted,Concluded,Convicted,NA
30,11006421,,,,Felony,2014/02/11,2014/02/27,N,16,Convicted,Concluded,Convicted,Theft-Non Auto
31,13026769,,,,Misdemeanor,2014/02/24,2014/02/28,N,4,Convicted,Concluded,Convicted,Assault-Misdemean
32,14003027,,,,Misdemeanor,2014/02/27,2014/02/28,N,1,Convicted,Concluded,Convicted,Theft- Non-Auto
33,13033705,,,,Misdemeanor,2014/02/24,2014/03/03,N,7,Not Convicted,Concluded,Not Convicted,Domestic Violence
34,13032718,,,,Felony,2014/02/25,2014/03/03,N,6,Convicted,Concluded,Convicted,Robbery 2nd Degre
35,13030226,,,,Misdemeanor,2014/02/25,2014/03/04,N,7,Convicted,Concluded,Convicted,DUI
36,2171234,,,,Felony,2014/02/26,2014/03/06,N,8,Convicted,Concluded,Convicted,NA
37,13034234,13034420,,,Misdemeanor,2014/02/28,2014/03/06,N,6,Convicted,Concluded,Convicted,Elder Abuse
38,2473971,,,,Misdemeanor,2014/03/14,2014/03/14,N,0,Convicted,Concluded,Convicted,Theft- Non-Auto
39,13030485,,,,Felony,2014/03/12,2014/03/20,N,8,Convicted,Concluded,Convicted,Domestic Violence
40,13036183,,,,Misdemeanor,2014/03/13,2014/03/20,N,7,Not Convicted,Not Concluded,Mistrial,Weapons- Non-Gun
